,V,I
0,-0.23052,9.6874
1,-0.23987,9.6905
2,-0.24298,9.6842
3,-0.23364,9.6898
4,-0.23987,9.6836
5,-0.23675,9.6725
6,-0.22429,9.6744
7,-0.21183,9.6793
8,-0.24921,9.6782
9,-0.2056,9.6656
10,-0.20871,9.6724
11,-0.19625,9.6677
12,-0.19314,9.6691
13,-0.19625,9.6747
14,-0.19625,9.6782
15,-0.21183,9.6668
16,-0.19314,9.6731
17,-0.17445,9.6655
18,-0.20871,9.6754
19,-0.18379,9.6714
20,-0.20248,9.6696
21,-0.20248,9.6678
22,-0.2056,9.659
23,-0.20248,9.6719
24,-0.18379,9.6669
25,-0.19625,9.668
26,-0.18379,9.6671
27,-0.18068,9.6645
28,-0.16822,9.66
29,-0.14641,9.6527
30,-0.17756,9.6626
31,-0.15264,9.6596
32,-0.1651,9.6554
33,-0.17133,9.6612
34,-0.16199,9.6566
35,-0.16822,9.6644
36,-0.14953,9.6575
37,-0.15887,9.661
38,-0.14641,9.6672
39,-0.13395,9.6605
40,-0.12772,9.6575
41,-0.11526,9.6559
42,-0.12149,9.6544
43,-0.12461,9.656
44,-0.10903,9.6437
45,-0.10591,9.6521
46,-0.099684,9.653
47,-0.080993,9.6488
48,-0.080993,9.6472
49,-0.068533,9.6453
50,-0.046727,9.6471
51,-0.037381,9.6336
52,-0.028036,9.6445
53,-0.034266,9.6419
54,-0.043612,9.6435
55,-0.040497,9.6416
56,-0.031151,9.6392
57,-0.028036,9.6484
58,-0.043612,9.6469
59,-0.031151,9.6458
60,-0.024921,9.6466
61,-0.021806,9.6456
62,-0.018691,9.6385
63,-0.028036,9.6375
64,-0.0093452,9.642
65,-0.043612,9.6425
66,-0.040497,9.6369
67,-0.021806,9.6485
68,-0.015575,9.6432
69,-0.01246,9.6457
70,-0.0031149,9.6424
71,-0.0031149,9.6409
72,0.0062305,9.634
73,0.043612,9.625
74,0.046727,9.641
75,0.046727,9.6371
76,0.084109,9.6313
77,0.093454,9.6295
78,0.093454,9.6347
79,0.1028,9.6265
80,0.11526,9.6348
81,0.13707,9.6343
82,0.13084,9.6347
83,0.14953,9.6246
84,0.17445,9.6291
85,0.1651,9.6219
86,0.18691,9.621
87,0.19937,9.6354
88,0.21183,9.6316
89,0.23364,9.6282
90,0.22118,9.6256
91,0.24298,9.6287
92,0.23987,9.6194
93,0.25856,9.6176
94,0.23052,9.6302
95,0.28036,9.6238
96,0.28971,9.6249
97,0.3084,9.6219
98,0.31463,9.624
99,0.34578,9.6228
100,0.34267,9.6186
101,0.37382,9.6171
102,0.38005,9.6305
103,0.37382,9.6303
104,0.39562,9.6203
105,0.40185,9.622
106,0.4112,9.6208
107,0.43612,9.6214
108,0.47973,9.6246
109,0.50154,9.6298
110,0.49531,9.6262
111,0.5358,9.6253
112,0.56384,9.6167
113,0.58876,9.6207
114,0.62926,9.6222
115,0.63237,9.6307
116,0.66664,9.6176
117,0.69779,9.6145
118,0.73829,9.6147
119,0.77255,9.6186
120,0.80371,9.6155
121,0.82551,9.619
122,0.84732,9.624
123,0.87535,9.6219
124,0.947,9.6183
125,0.93766,9.6167
126,0.99684,9.615
127,1.0187,9.6185
128,1.0591,9.6156
129,1.0747,9.614
130,1.1183,9.6167
131,1.1744,9.6152
132,1.1993,9.6222
133,1.2429,9.6193
134,1.2897,9.623
135,1.3146,9.6163
136,1.3862,9.6112
137,1.4454,9.6166
138,1.4735,9.6187
139,1.5264,9.6115
140,1.5856,9.608
141,1.6323,9.6143
142,1.6728,9.6153
143,1.7756,9.5997
144,1.8068,9.6156
145,1.8784,9.61
146,1.9407,9.6131
147,1.9937,9.6103
148,2.0653,9.6121
149,2.1183,9.6079
150,2.1899,9.6038
151,2.2585,9.6091
152,2.3083,9.6075
153,2.3924,9.6103
154,2.4173,9.6092
155,2.5015,9.6128
156,2.5606,9.6085
157,2.6448,9.6056
158,2.7164,9.6102
159,2.7849,9.614
160,2.8379,9.6112
161,2.894,9.6046
162,2.9469,9.5986
163,3.0155,9.6064
164,3.0778,9.6044
165,3.1525,9.6049
166,3.1992,9.6062
167,3.2553,9.6107
168,3.3612,9.5969
169,3.4267,9.6077
170,3.4983,9.6023
171,3.5762,9.6011
172,3.6478,9.6033
173,3.7195,9.6051
174,3.7724,9.5992
175,3.8659,9.5995
176,3.9438,9.5949
177,3.9905,9.6041
178,4.0621,9.6064
179,4.1338,9.6113
180,4.2179,9.607
181,4.2989,9.6016
182,4.3737,9.6036
183,4.4484,9.5966
184,4.5419,9.5947
185,4.6135,9.5857
186,4.6976,9.5949
187,4.7568,9.6005
188,4.8347,9.5983
189,4.9001,9.5956
190,4.9718,9.5911
191,5.0403,9.6008
192,5.1026,9.5938
193,5.1929,9.5885
194,5.249,9.5971
195,5.2926,9.5942
196,5.3736,9.5936
197,5.4453,9.5873
198,5.492,9.5973
199,5.5512,9.6084
200,5.6477,9.5941
201,5.6914,9.6014
202,5.7412,9.5916
203,5.8378,9.586
204,5.9312,9.583
205,5.9873,9.5911
206,6.0745,9.5936
207,6.1586,9.5811
208,6.2272,9.5932
209,6.2926,9.592
210,6.3798,9.5894
211,6.4359,9.5902
212,6.492,9.5828
213,6.5729,9.589
214,6.6352,9.5895
215,6.7069,9.5874
216,6.7723,9.5813
217,6.8471,9.5814
218,6.8969,9.5906
219,6.9468,9.5849
220,7.0184,9.5911
221,7.0714,9.5845
222,7.1025,9.5891
223,7.1555,9.588
224,7.1835,9.5816
225,7.252,9.5867
226,7.3112,9.583
227,7.386,9.5814
